parameters (S),anewarraycount (N),b_count (N),dyn_bb_count (N),dyn_instr_count (N),dyn_method_count (N),fieldloadcount (N),fieldstorecount (N),i (S),i_count (N),lastRequestForParams (S),loadcount (N),m_count (N),metric_value (N),multianewarraycount (N),n1 (N),n2 (N),newarraycount (N),newcount (N),s (S),storecount (N),un (N)
s=BFS un=256 n1=16 n2=16 i=SUDOKU_PUZZLE_16x16_03 ,4,0,726086133,1694355671,3956,19920,20,SUDOKU_PUZZLE_16x16_03,0,Mon May 11 14:02:33 CEST 2020,242206924,0,2904664296,1,16,16,0,43,BFS,241991624,256
s=BFS un=81 n1=9 n2=9 i=SUDOKU_PUZZLE_9x9_101 ,2,0,119984689,279987163,924,2741,7,SUDOKU_PUZZLE_9x9_101,0,Wed May 13 15:46:03 UTC 2020,40021501,0,479986259,1,9,9,0,22,BFS,39989209,81
s=BFS un=81 n1=9 n2=9 i=SUDOKU_PUZZLE_9x9_102 ,2,0,110280573,257343047,883,2617,7,SUDOKU_PUZZLE_9x9_102,0,Wed May 13 15:47:26 UTC 2020,36785248,0,441167237,1,9,9,0,22,BFS,36754837,81
s=BFS un=81 n1=9 n2=9 i=SUDOKU_PUZZLE_9x9_103 ,2,0,173798331,405558939,1138,3375,7,SUDOKU_PUZZLE_9x9_103,0,Wed May 13 15:48:51 UTC 2020,57967784,0,695254942,1,9,9,0,22,BFS,57925343,81
s=BFS un=81 n1=9 n2=9 i=SUDOKU_PUZZLE_9x9_104 ,2,0,85579618,199705114,796,2424,7,SUDOKU_PUZZLE_9x9_104,0,Wed May 13 15:51:03 UTC 2020,28548365,0,342358245,1,9,9,0,22,BFS,28521896,81
s=BFS un=81 n1=9 n2=9 i=SUDOKU_PUZZLE_9x9_105 ,2,0,109398434,255284614,880,2616,7,SUDOKU_PUZZLE_9x9_105,0,Wed May 13 16:05:30 UTC 2020,36491064,0,437638450,1,9,9,0,22,BFS,36460810,81
s=CP un=256 n1=16 n2=16 i=SUDOKU_PUZZLE_16x16_01 ,2,0,564621865,1317576947,2716,22171,7,SUDOKU_PUZZLE_16x16_01,0,Wed May 13 15:51:59 UTC 2020,188326249,0,2258733889,1,16,16,0,669,CP,188183262,256
s=CP un=256 n1=16 n2=16 i=SUDOKU_PUZZLE_16x16_02 ,2,0,389941851,909950233,2033,15135,7,SUDOKU_PUZZLE_16x16_02,0,Wed May 13 15:54:18 UTC 2020,130061854,0,1559935727,1,16,16,0,471,CP,129964140,256
s=CP un=256 n1=16 n2=16 i=SUDOKU_PUZZLE_16x16_03 ,2,0,443759959,1035542949,2425,17629,7,SUDOKU_PUZZLE_16x16_03,0,Wed May 13 15:56:01 UTC 2020,148015622,0,1775239723,1,16,16,0,532,CP,147900597,256
s=CP un=256 n1=16 n2=16 i=SUDOKU_PUZZLE_16x16_04 ,2,0,459638976,1072595365,2464,17799,7,SUDOKU_PUZZLE_16x16_04,0,Wed May 13 15:58:32 UTC 2020,153310435,0,1838758798,1,16,16,0,550,CP,153193199,256
s=CP un=625 n1=25 n2=25 i=SUDOKU_PUZZLE_16x16_05 ,2,0,77653506,181228486,2383,6121,7,SUDOKU_PUZZLE_16x16_05,0,Wed May 13 16:01:39 UTC 2020,25918243,0,310685664,1,25,25,0,126,CP,25876789,625
s=CP un=625 n1=25 n2=25 i=SUDOKU_PUZZLE_16x16_06 ,2,0,689910160,1609967035,3900,34532,7,SUDOKU_PUZZLE_16x16_06,0,Wed May 13 16:02:28 UTC 2020,230137909,0,2759990656,1,25,25,0,820,CP,229936290,625
s=CP un=625 n1=25 n2=25 i=SUDOKU_PUZZLE_25x25_01 ,2,0,295559604,689724718,2934,15559,7,SUDOKU_PUZZLE_25x25_01,0,Wed May 13 16:05:57 UTC 2020,98599372,0,1182405894,1,25,25,0,373,CP,98503324,625
s=CP un=81 n1=9 n2=9 i=SUDOKU_PUZZLE_9x9_101 ,2,0,104102147,242926333,747,3187,7,SUDOKU_PUZZLE_9x9_101,0,Wed May 13 15:45:54 UTC 2020,34720752,0,416449893,1,9,9,0,140,CP,34696577,81
s=CP un=81 n1=9 n2=9 i=SUDOKU_PUZZLE_9x9_102 ,2,0,110277533,257336623,763,3384,7,SUDOKU_PUZZLE_9x9_102,0,Wed May 13 15:47:28 UTC 2020,36780314,0,441153597,1,9,9,0,147,CP,36754823,81
