parameters,anewarraycount,dyn_bb_count,dyn_method_count,i,lastRequestForParams,metric_value,micro_seconds_used,multianewarraycount,n1,n2,s,storecount,un
"s=BFS un=256 n1=16 n2=16 i=SUDOKU_PUZZLE_16x16_01 ","2","465835090","2954","SUDOKU_PUZZLE_16x16_01","Thu May 14 16:35:51 WEST 2020","621089532","27633.95135","1","16","16","BFS","155251485","256"
"s=BFS un=256 n1=16 n2=16 i=SUDOKU_PUZZLE_16x16_02 ","2","1105440718","5366","SUDOKU_PUZZLE_16x16_02","Thu May 14 16:36:35 WEST 2020","1473872522","64442.72142","1","16","16","BFS","368426435","256"
"s=BFS un=256 n1=16 n2=16 i=SUDOKU_PUZZLE_16x16_03 ","2","726086085","3938","SUDOKU_PUZZLE_16x16_03","Thu May 14 16:37:55 WEST 2020","968081637","41841.91732","1","16","16","BFS","241991611","256"
"s=BFS un=256 n1=16 n2=16 i=SUDOKU_PUZZLE_16x16_04 ","2","586700590","3403","SUDOKU_PUZZLE_16x16_04","Thu May 14 16:38:50 WEST 2020","782238227","34433.057845","1","16","16","BFS","195534231","256"
"s=BFS un=625 n1=25 n2=25 i=SUDOKU_PUZZLE_16x16_05 ","2","529356545","4637","SUDOKU_PUZZLE_16x16_05","Thu May 14 16:40:20 WEST 2020","705783548","34198.451708","1","25","25","BFS","176422363","625"
"s=BFS un=625 n1=25 n2=25 i=SUDOKU_PUZZLE_16x16_06 ","2","1657820440","8891","SUDOKU_PUZZLE_16x16_06","Thu May 14 16:41:11 WEST 2020","2210322721","97657.15819","1","25","25","BFS","552493387","625"
"s=BFS un=625 n1=25 n2=25 i=SUDOKU_PUZZLE_25x25_01 ","2","1657820440","8891","SUDOKU_PUZZLE_25x25_01","Thu May 14 16:43:03 WEST 2020","2210322721","97174.576724","1","25","25","BFS","552493387","625"
"s=BFS un=81 n1=9 n2=9 i=SUDOKU_PUZZLE_9x9_101 ","4","119984737","942","SUDOKU_PUZZLE_9x9_101","Thu May 14 16:32:15 WEST 2020","159974906","38013.145209","1","9","9","BFS","39989222","81"
"s=BFS un=81 n1=9 n2=9 i=SUDOKU_PUZZLE_9x9_102 ","2","110280573","883","SUDOKU_PUZZLE_9x9_102","Thu May 14 16:34:16 WEST 2020","147036296","8011.781426","1","9","9","BFS","36754837","81"
"s=BFS un=81 n1=9 n2=9 i=SUDOKU_PUZZLE_9x9_103 ","2","173798331","1138","SUDOKU_PUZZLE_9x9_103","Thu May 14 16:34:47 WEST 2020","231724815","10970.929458","1","9","9","BFS","57925343","81"
"s=BFS un=81 n1=9 n2=9 i=SUDOKU_PUZZLE_9x9_104 ","2","85579618","796","SUDOKU_PUZZLE_9x9_104","Thu May 14 16:35:08 WEST 2020","114102313","6498.793874","1","9","9","BFS","28521896","81"
